# 卡牌性别配置表
# 性别代码: 0=无性别, 1=男性, 2=女性, 3=双性
# 填写完成后保存，然后告诉我即可批量导入

类型,ID,名称,性别
式神,shikigami_001,妖刀姬,2
式神,shikigami_002,大天狗,1
式神,shikigami_003,酒吞童子,1
式神,shikigami_004,茨木童子,1
式神,shikigami_005,花鸟卷,2
式神,shikigami_006,书翁,1
式神,shikigami_007,百目鬼,2
式神,shikigami_008,鬼使白,1
式神,shikigami_009,般若,2
式神,shikigami_010,追月神,2
式神,shikigami_011,白狼,2
式神,shikigami_012,食梦貘,0
式神,shikigami_013,鲤鱼精,2
式神,shikigami_014,萤草,2
式神,shikigami_015,独眼小僧,1
式神,shikigami_016,食发鬼,1
式神,shikigami_017,巫蛊师,1
式神,shikigami_018,山童,1
式神,shikigami_019,丑时之女,2
式神,shikigami_020,三尾狐,2
式神,shikigami_021,青蛙瓷器,1
式神,shikigami_022,铁鼠,1
式神,shikigami_023,座敷童子,1
式神,shikigami_024,山兔,2
鬼王,boss_001,麒麟,0
鬼王,boss_002,石距,0
鬼王,boss_003,鬼灵歌伎,2
鬼王,boss_004,土蜘蛛,0
鬼王,boss_005,胧车,1
鬼王,boss_006,蜃气楼,0
鬼王,boss_007,荒骷髅,1
鬼王,boss_008,地震鲶,1
鬼王,boss_009,八岐大蛇,0
鬼王,boss_010,贪嗔痴,3
妖怪,yokai_001,赤舌,1
妖怪,yokai_002,唐纸伞妖,3
妖怪,yokai_003,天邪鬼绿,1
妖怪,yokai_004,天邪鬼青,2
妖怪,yokai_005,天邪鬼赤,1
妖怪,yokai_006,天邪鬼黄,1
妖怪,yokai_007,魅妖,2
妖怪,yokai_008,灯笼鬼,0
妖怪,yokai_009,树妖,1
妖怪,yokai_010,日女巳时,2
妖怪,yokai_011,蚌精,2
妖怪,yokai_012,鸣屋,2
妖怪,yokai_013,蝠翼,2
妖怪,yokai_014,兵主部,1
妖怪,yokai_015,魍魉之匣,0
妖怪,yokai_016,骰子鬼,1
妖怪,yokai_017,涅槃之火,3
妖怪,yokai_018,雪幽魂,0
妖怪,yokai_019,轮入道,1
妖怪,yokai_020,网切,1
妖怪,yokai_021,铮,0
妖怪,yokai_022,薙魂,1
妖怪,yokai_023,狂骨,2
妖怪,yokai_024,返魂香,0
妖怪,yokai_025,镇墓兽,0
妖怪,yokai_026,针女,2
妖怪,yokai_027,心眼,1
妖怪,yokai_028,涂佛,1
妖怪,yokai_029,地藏像,1
妖怪,yokai_030,飞缘魔,2
妖怪,yokai_031,破势,3
妖怪,yokai_032,镜姬,2
妖怪,yokai_033,木魅,2
妖怪,yokai_034,幽谷响,1
妖怪,yokai_035,伤魂鸟,0
妖怪,yokai_036,阴摩罗,2
妖怪,yokai_037,青女房,2
妖怪,yokai_038,三味,3
